rnti,phr,dl_tbs,ul_tbs,dl_aggr_prb,wb_cqi,pusch_snr,pucch_snr,ul_rssi,dl_bler,ul_bler,dl_mcs,ul_mcs,target_future_rssi
70,30,919608,1176699,20,15,30.20918846130371,31.67237091064453,65.4942398071289,0.0,0.0,26,21,65.9303207397461
70,30,919524,1176735,20,15,30.047279357910156,32.172054290771484,65.9303207397461,0.0,0.0,26,21,66.67581939697266
70,30,919569,1176803,20,15,30.005495071411133,32.172054290771484,66.67581939697266,0.0,0.0,26,21,67.2799301147461
70,30,919625,1176956,20,15,29.79493522644043,32.172054290771484,67.2799301147461,0.0,0.0,26,22,67.53729248046875
70,30,919670,1176957,20,15,29.60191535949707,32.20135498046875,67.53729248046875,0.0,0.0,26,22,67.76892852783203
70,30,919725,1176962,20,15,29.37898826599121,32.671112060546875,67.76892852783203,0.0,0.0,26,22,68.16522979736328
70,30,919641,1176902,20,15,29.835947036743164,32.671112060546875,68.16522979736328,0.0,0.0,26,21,68.48809814453125
70,30,919547,1176948,20,15,29.88300895690918,32.671112060546875,68.48809814453125,0.0,0.0,26,21,68.86117553710938
70,30,919602,1177100,20,15,30.016223907470703,32.671112060546875,68.86117553710938,0.0,0.0,26,22,69.1327133178711
70,30,919797,1177254,20,15,29.994253158569336,32.679222106933594,69.1327133178711,0.0,0.0,26,22,69.27061462402344
70,30,919713,1177282,20,15,30.053997039794922,32.679222106933594,69.27061462402344,0.0,0.0,26,22,69.32954406738281
70,30,919758,1177204,20,15,30.053150177001953,32.69425582885742,69.32954406738281,0.0,0.0,26,22,69.3299789428711
70,30,919674,1177188,20,15,29.93418312072754,32.69425582885742,69.3299789428711,0.0,0.0,26,22,69.33003234863281
70,30,919715,1177158,20,15,29.839792251586914,33.59565734863281,69.33003234863281,0.0,0.0,26,22,69.38209533691406
70,30,919631,1177077,20,15,30.257516860961914,33.59565734863281,69.38209533691406,0.0,0.0,26,21,69.42901611328125
70,30,919536,1177028,20,15,30.49251365661621,33.59565734863281,69.42901611328125,0.0,0.0,26,21,69.5091323852539
70,30,919592,1177136,20,15,30.28437042236328,33.59565734863281,69.5091323852539,0.0,0.0,26,21,69.57402038574219
70,30,919786,1177288,20,15,29.87743377685547,34.115535736083984,69.57402038574219,0.0,0.0,26,21,69.62882232666016
70,30,919831,1177215,20,15,30.314781188964844,34.115535736083984,69.62882232666016,0.0,0.0,26,20,69.6525650024414
70,30,919747,1177273,20,15,30.257400512695312,34.115535736083984,69.6525650024414,0.0,0.0,26,21,69.6527328491211
70,30,919798,1177269,20,15,30.093154907226562,31.973033905029297,69.6527328491211,0.0,0.0,26,21,69.65288543701172
70,30,919843,1177201,20,15,30.07025718688965,32.5087890625,69.65288543701172,0.0,0.0,26,21,69.67398071289062
70,30,919749,1177173,20,15,30.16629981994629,32.5531120300293,69.67398071289062,0.0,0.0,26,21,69.69286346435547
70,30,919804,1177178,20,15,29.944557189941406,32.96107482910156,69.69286346435547,0.0,0.0,26,21,69.70970916748047
70,30,919720,1177090,20,15,30.584064483642578,33.425235748291016,69.70970916748047,0.0,0.0,26,20,69.73724365234375
70,30,919765,1177036,20,15,31.261381149291992,33.425235748291016,69.73724365234375,0.0,0.0,26,19,69.74942016601562
70,30,919681,1177065,20,15,31.228410720825195,33.425235748291016,69.74942016601562,0.0,0.0,26,20,65.43489837646484
70,30,919737,1177147,20,15,30.996614456176758,31.528640747070312,65.43489837646484,0.0,0.0,26,20,61.94066619873047
70,30,919782,1177309,20,15,30.495275497436523,31.528640747070312,61.94066619873047,0.0,0.0,26,20,61.941680908203125
70,30,919976,1177291,20,15,30.418834686279297,33.08127212524414,61.941680908203125,0.0,0.0,26,21,62.73434066772461
70,30,919882,1177197,20,15,30.480268478393555,33.08127212524414,62.73434066772461,0.0,0.0,26,21,62.73479461669922
70,30,919798,1177212,20,15,30.327733993530273,33.08127212524414,62.73479461669922,0.0,0.0,26,21,63.44812774658203
70,30,919853,1177251,20,15,30.191987991333008,33.506404876708984,63.44812774658203,0.0,0.0,26,21,64.09062957763672
70,30,919894,1177321,20,15,30.0504093170166,33.506404876708984,64.09062957763672,0.0,0.0,26,21,64.66838836669922
70,30,919939,1177323,20,15,29.91181755065918,34.165889739990234,64.66838836669922,0.0,0.0,26,21,65.6560287475586
70,30,919994,1177361,20,15,29.949552536010742,34.166534423828125,65.6560287475586,0.0,0.0,26,22,65.65619659423828
70,30,919910,1177322,20,15,29.92574691772461,34.46999740600586,65.65619659423828,0.0,0.0,26,22,66.45611572265625
70,30,919816,1177337,20,15,30.016475677490234,34.46999740600586,66.45611572265625,0.0,0.0,26,22,66.79707336425781
70,30,919871,1177256,20,15,30.066165924072266,34.51887130737305,66.79707336425781,0.0,0.0,26,22,64.8812255859375
70,30,919788,1177198,20,15,30.229589462280273,32.48236846923828,64.8812255859375,0.0,0.0,26,22,61.605125427246094
70,30,919832,1177294,20,15,30.28583526611328,32.48236846923828,61.605125427246094,0.0,0.0,26,22,61.17272186279297
70,30,919888,1177453,20,15,30.125566482543945,32.931785583496094,61.17272186279297,0.0,0.0,26,22,62.041351318359375
70,30,920067,1177410,20,15,30.291763305664062,33.827457427978516,62.041351318359375,0.0,0.0,26,22,62.823184967041016
70,30,919983,1177470,20,15,30.092132568359375,33.827457427978516,62.823184967041016,0.0,0.0,26,22,63.5268440246582
70,30,920039,1177552,20,15,29.760963439941406,33.827457427978516,63.5268440246582,0.0,0.0,26,22,64.16009521484375
70,30,920094,1177680,20,15,29.540664672851562,33.827457427978516,64.16009521484375,0.0,0.0,26,22,64.16009521484375
70,30,920149,1177573,20,15,29.540664672851562,34.08800506591797,64.16009521484375,0.0,0.0,26,22,64.73052978515625
70,30,920055,1177500,20,15,29.540470123291016,34.08800506591797,64.73052978515625,0.0,0.0,26,22,65.24371337890625
70,30,919971,1177622,20,15,29.227792739868164,32.09980010986328,65.24371337890625,0.0,0.0,26,23,63.47112274169922
70,30,920165,1177789,20,15,29.008508682250977,32.09980010986328,63.47112274169922,0.0,0.0,26,23,61.87604904174805
70,30,920355,1178007,20,15,28.653852462768555,32.67936325073242,61.87604904174805,0.0,0.0,26,23,62.674434661865234
70,30,920271,1177942,20,15,28.701059341430664,33.1707763671875,62.674434661865234,0.0,0.0,26,23,63.39302062988281
70,30,920316,1177865,20,15,28.720848083496094,33.21771240234375,63.39302062988281,0.0,0.0,26,23,64.04017639160156
70,30,920232,1177783,20,15,29.38440704345703,33.21771240234375,64.04017639160156,0.0,0.0,26,22,65.14649963378906
70,30,920149,1177748,20,15,29.991432189941406,33.21771240234375,65.14649963378906,0.0,0.0,26,20,65.61832427978516
70,30,920065,1177884,20,15,29.541149139404297,33.21771240234375,65.61832427978516,0.0,0.0,26,21,66.42520904541016
70,30,920120,1178189,20,15,29.052169799804688,33.25507354736328,66.42520904541016,0.0,0.0,26,21,66.76974487304688
70,30,920587,1178464,20,15,28.775203704833984,34.082088470458984,66.76974487304688,0.0,0.0,26,21,66.7699966430664
