timestamp,rnti,phr,dl_tbs,ul_tbs,dl_aggr_prb,wb_cqi,pusch_snr,pucch_snr,ul_rssi,dl_bler,ul_bler,dl_mcs,ul_mcs,target_future_rssi
1764717458185146.0,72,30,521930,755157,11,15,29.148496627807617,29.931251525878906,57.4197998046875,0.0,0.0,26,22,56.938777923583984
1764717458195141.0,72,30,521916,755138,11,15,29.476675033569336,30.748207092285156,56.938777923583984,0.0,0.0,26,21,58.27309036254883
1764717458205139.0,72,30,521902,755157,11,15,29.413394927978516,30.748207092285156,58.27309036254883,0.0,0.0,26,21,59.47404861450195
1764717458215144.0,72,30,521927,755190,11,15,29.51736831665039,30.748207092285156,59.47404861450195,0.0,0.0,26,22,58.54458999633789
1764717458225136.0,72,30,521951,755242,11,15,29.393217086791992,29.707365036010742,58.54458999633789,0.0,0.0,26,22,58.544708251953125
1764717458235133.0,72,30,522015,755242,11,15,29.32171058654785,30.487606048583984,58.544708251953125,0.0,0.0,26,22,58.544708251953125
1764717458245139.0,72,30,522002,755223,11,15,29.32171058654785,31.300493240356445,58.544708251953125,0.0,0.0,26,22,59.71839904785156
1764717458255149.0,72,30,521987,755215,11,15,29.279504776000977,31.300493240356445,59.71839904785156,0.0,0.0,26,22,60.77506637573242
1764717458265145.0,72,30,521974,755259,11,15,28.935976028442383,31.300493240356445,60.77506637573242,0.0,0.0,26,22,59.67394256591797
1764717458275134.0,72,30,522037,755316,11,15,28.741165161132812,29.74938201904297,59.67394256591797,0.0,0.0,26,22,58.682960510253906
1764717458285149.0,72,30,522098,755384,11,15,28.382862091064453,30.581928253173828,58.682960510253906,0.0,0.0,26,22,59.843048095703125
1764717458295135.0,72,30,522085,755377,11,15,28.422603607177734,31.331478118896484,59.843048095703125,0.0,0.0,26,22,60.88713836669922
1764717458305136.0,72,30,522072,755370,11,15,28.427175521850586,31.331478118896484,60.88713836669922,0.0,0.0,26,22,61.82697677612305
1764717458315131.0,72,30,522096,755356,11,15,29.00700569152832,31.375965118408203,61.82697677612305,0.0,0.0,26,22,62.672828674316406
1764717458325149.0,72,30,522082,755351,11,15,29.42354965209961,31.375965118408203,62.672828674316406,0.0,0.0,26,21,63.43409729003906
1764717458335131.0,72,30,522069,755371,11,15,29.307083129882812,31.375965118408203,63.43409729003906,0.0,0.0,26,21,65.2907943725586
1764717458345135.0,72,30,522093,755497,11,15,28.59343147277832,31.376564025878906,65.2907943725586,0.0,0.0,26,22,65.79031372070312
1764717458355138.0,72,30,522195,755540,11,15,28.331100463867188,32.04200744628906,65.79031372070312,0.0,0.0,26,22,65.79041290283203
1764717458365133.0,72,30,522182,755527,11,15,28.640840530395508,32.67900848388672,65.79041290283203,0.0,0.0,26,22,65.79051971435547
1764717458375143.0,72,30,522205,755511,11,15,28.94387435913086,33.1788330078125,65.79051971435547,0.0,0.0,26,21,66.23929595947266
1764717458385141.0,72,30,522192,755526,11,15,29.36668586730957,33.1788330078125,66.23929595947266,0.0,0.0,26,21,64.90798950195312
1764717458395146.0,72,30,522217,755540,11,15,29.231199264526367,31.709457397460938,64.90798950195312,0.0,0.0,26,21,63.71016311645508
1764717458405130.0,72,30,522204,755529,11,15,29.65154457092285,31.709457397460938,63.71016311645508,0.0,0.0,26,20,61.6614990234375
1764717458415156.0,72,30,522230,755529,11,15,30.142539978027344,31.709457397460938,61.6614990234375,0.0,0.0,26,20,60.788665771484375
1764717458425147.0,72,30,522215,755595,11,15,29.60871696472168,31.709457397460938,60.788665771484375,0.0,0.0,26,20,60.002777099609375
1764717458435145.0,72,30,522278,755641,11,15,29.219581604003906,32.247737884521484,60.002777099609375,0.0,0.0,26,20,61.030826568603516
1764717458445144.0,72,30,522302,755623,11,15,29.43412208557129,32.328651428222656,61.030826568603516,0.0,0.0,26,21,61.95608901977539
1764717458455139.0,72,30,522289,755604,11,15,29.737293243408203,32.328651428222656,61.95608901977539,0.0,0.0,26,20,62.78896713256836
1764717458465142.0,72,30,522274,755623,11,15,29.500564575195312,32.841957092285156,62.78896713256836,0.0,0.0,26,20,63.53878402709961
1764717458475135.0,72,30,522299,755656,11,15,29.38164710998535,32.841957092285156,63.53878402709961,0.0,0.0,26,21,64.82054138183594
1764717458485144.0,72,30,522323,755707,11,15,29.320533752441406,32.782474517822266,64.82054138183594,0.0,0.0,26,21,64.81983947753906
1764717458495140.0,72,30,522348,755721,11,15,29.18330955505371,33.28241729736328,64.81983947753906,0.0,0.0,26,21,65.36551666259766
1764717458505129.0,72,30,522373,755742,11,15,29.144357681274414,33.71980667114258,65.36551666259766,0.0,0.0,26,21,65.85720825195312
1764717458515144.0,72,30,522359,755743,11,15,28.99968910217285,34.08084487915039,65.85720825195312,0.0,0.0,26,21,66.29972839355469
1764717458525148.0,72,30,522384,755745,11,15,28.867650985717773,34.088680267333984,66.29972839355469,0.0,0.0,26,21,66.6976318359375
1764717458535138.0,72,30,522369,755739,11,15,29.219703674316406,34.34389114379883,66.6976318359375,0.0,0.0,26,21,67.0557632446289
1764717458545154.0,72,30,522394,755740,11,15,29.481231689453125,34.67319869995117,67.0557632446289,0.0,0.0,26,20,67.37770080566406
1764717458555167.0,72,30,522380,755764,11,15,29.283830642700195,34.67319869995117,67.37770080566406,0.0,0.0,26,21,67.66710662841797
